"요구사항ID","재난분야","요구사항영역","세부기능","요구사항설명","주요입력데이터","처리·판단규칙","출력·사용자기능","연계대상","성능·품질기준","검증방법","개발단계·우선순위","현재구현상태","현재구현근거","추가개발사항","근거문서","근거구분","근거위치","원문요구번호","근거강도","통합시스템포함사유","개발범위구분","구현산출물","범위제외경계"
"INT-LS-001","산사태","환경데이터","산사태 통합 학습·분석 데이터셋","DEM·경사·곡률·지질·토양·식생·강우·사면파괴·산사태 이력·인프라 데이터를 표준화해 구축한다.","DEM/DSM; 지질도; 토양도; 임상도; 강우; 온습도; 풍향풍속; 피해이력; 도로·건물","좌표·해상도·시간단위를 통일하고 Raster 학습구조로 변환하며 결측·편향을 관리한다.","데이터 카탈로그; 품질정보; 학습셋 버전","기상청; 국토·산림 공간정보; 지자체","데이터 균형성·상호운용성·재현 가능한 버전관리","샘플링·결측률·공간정합·교차검증 분할 검증","산사태 기반/P0","스키마부분구현","산사태 도메인 데이터 API 구조 존재","실제 원천수집·ETL·Raster 저장·품질·버전관리 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","AI 환경분석 데이터셋 및 지형·지반·강우·통신 통합 DB","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-LS-002","산사태","위험분석","AI 산사태 위험예측","다중 환경인자를 이용해 산사태·토석류 발생 가능성과 공간별 위험도를 예측한다.","지형·지질·강우·식생·사면안정성·과거발생 데이터","CNN·Transformer·앙상블 등을 검토하고 교차검증과 하이퍼파라미터 튜닝을 수행한다.","고·중·저 위험등급; 위험지도; 예측신뢰도; 조기경보","GIS; 예·경보체계","예측 정확도와 현장·물리적 타당성","과거사례 검증·교차검증·현장전문가 검토","산사태 핵심/P1","미구현","위험 분석용 API/DB 골격 수준","모델·학습파이프라인·위험지도·경보연계 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","AI 환경분석·위험 예측·조기경보","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-003","산사태","설명가능AI","위험도 영향인자 설명","AI 예측결과에 대해 강우·경사·지질 등 영향인자의 기여도와 공간적 근거를 제공한다.","모델입력; 예측값; 특징기여도; 공간좌표","SHAP·LIME 등으로 기여도를 산출하고 전문가 피드백으로 물리적 타당성을 검토한다.","주요 영향인자; 기여도; 설명지도; 모델버전","AI 예측모델; 전문가 검토","의사결정자가 이해 가능한 설명과 추적성","동일 입력 재현·전문가 평가·모델버전 비교","산사태 고도화/P2","미구현","해당 기능 없음","XAI 파이프라인·설명 저장·시각화·검토이력 필요","산사태 2025 연차보고서","명시","SHAP·LIME 기반 영향인자 기여도 시각화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-004","산사태","가시권분석","동적 Viewshed 및 통신음영 분석","고해상도 DEM/DSM과 산능선·절토면 등 장애물을 이용해 드론·중계기 가시권과 통신음영을 분석한다.","DEM/DSM; 장애물; 안테나높이; 드론경로; 중계기위치; 지형변화","3D 표고와 장비 높이를 반영하고 강우·붕괴 후 지형변화 시 분석결과를 갱신한다.","가시권; 음영지역; 커버리지 변화; 지도레이어","GIS; 드론; 이동중계기","고정밀 지형 반영과 동적 갱신","기준 지점 간 실제 가시성·전파측정과 분석결과 비교","산사태 핵심/P1","미구현","네트워크 위치 데이터만 존재","DEM 처리·Viewshed 엔진·전파모델·지도레이어 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","GIS 기반 Viewshed 및 실시간 지형변화 반영","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-005","산사태","중계기배치","드론·중계기 최적 배치와 경로","가시권·전파범위·지형안정성·드론 기동경로를 고려해 임시 중계기 후보지와 재배치 경로를 추천한다.","Viewshed; 통신음영; 지형안정성; 드론성능; 비행경로; 전원","안전하고 접근 가능한 후보 중 커버리지 개선효과가 큰 위치를 순위화한다.","후보지; 예상효과; 이동경로; 재배치 시나리오","드론 GCS; 이동중계기; GIS","현장망 복구시간 단축과 커버리지 확보","수동배치 대비 음영률·배치시간·안전성 비교","산사태 핵심/P1","미구현","시나리오에서 중계기 활성화만 모사","최적화 알고리즘·후보지 데이터·GCS 명령연계 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","임시 중계기 설치 후보지 자동판별 및 재배치 시나리오","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-006","산사태","현장영상","드론 영상 기반 변화탐지","재난 전후 또는 시간대별 드론 영상을 비교해 붕괴범위와 지형 변화를 자동 탐지한다.","드론영상; 촬영위치·자세; 기준영상; DEM","영상 정합 후 변화영역을 분할하고 신뢰도·면적·변화량을 계산한다.","변화영역; 붕괴면적; 변화량; 지도 중첩","드론 GCS; AI 영상분석; GIS","현장판단에 사용할 수 있는 탐지 민감도와 처리시간","라벨 영상 대비 탐지 정밀도·재현율·처리시간 측정","산사태 핵심/P1","미구현","해당 기능 없음","영상수집·정합·변화탐지 모델·결과 API/UI 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","영상 기반 산사태 분석과 변화탐지","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-007","산사태","조난자탐지","Wi-Fi/RSSI 조난신호 수집","드론 또는 이동 탐지기가 매몰지역 단말의 Wi-Fi 신호를 스캔하고 RSSI·주파수·탐지기 위치를 실시간 수집한다.","익명 대상토큰; SSID/BSSID 대체식별값; RSSI; 주파수; 탐지기좌표; 시각","개인정보를 최소화한 식별자를 사용하고 중복관측을 시간·탐지기별로 정리한다.","탐지신호; 신호강도 추이; 탐지기별 관측","Wi-Fi 스캐닝 디바이스; LTE; 드론","현장 실시간 전송; 매몰환경 신호 확보","거리·깊이·토질별 RSSI 수집률과 전송누락률 측정","산사태 핵심/P0","데이터모사","2대 탐지기의 RSSI 상승 및 서버수집 시나리오 구현","실제 스캐너·LTE전송·익명화·신호 품질관리 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","매몰지역 Wi-Fi 스캐닝·RSSI 수집·LTE 전송","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-008","산사태","조난자측위","다중센서 조난자 위치추정","복수 탐지기의 RSSI·교차방위와 TDOA/UWB 등 신호를 융합해 조난자의 위치·깊이·신뢰도를 산출한다.","탐지기위치; RSSI; 방위; TDOA/UWB; 지형; 토질; 감쇠모델","붕괴지반 신호감쇠를 보정하고 다중관측을 융합해 후보위치와 오차범위를 계산한다.","추정좌표; 깊이; 신뢰도; 오차반경; 탐색우선순위","탐지기; AI 위치추정; GIS","매몰환경에 강건한 정확도와 신뢰도","알려진 위치·깊이의 표적 대상 오차와 탐지시간 측정","산사태 핵심/P0","데이터모사","RSSI 교차방위·TDOA/UWB 융합 및 10m 깊이 후보 데이터 모사","실제 보정모델·센서융합·오차검증·지도표출 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","붕괴지반 감쇠보정 및 매몰자 위치파악","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-009","산사태","긴급모드","재난 시 단말 Wi-Fi 활성화 지원","일반 앱 권한 한계를 고려해 제조사 서명 시스템 앱 또는 재난용 긴급모드 표준으로 조난 단말의 Wi-Fi 신호 송출 가능성을 실증한다.","재난경보; 단말상태; OS/제조사 정책; 활성화 응답","사용자 안전·법적 권한·제조사 협력 조건을 충족할 때만 긴급모드를 수행한다.","활성화 요청·응답; 성공상태; 실패사유","단말 제조사; 통신사; 재난안전통신망","정책·보안 준수와 실제 단말 기술 가능성","시스템앱 프로토타입·제조사 서명환경·현장단말 시험","산사태 연구/P1","개념모사","시나리오에 재난안전통신망을 통한 Wi-Fi 활성화 응답 표현","실제 시스템앱·기관승인·표준안·보안검증 필요","산사태 2025 연차보고서","명시","Wi-Fi 강제활성화 기술적 우회 검증 및 재난용 긴급모드 표준안","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-010","산사태","현장안전","사면변위·2차붕괴 위험경보","사면 변위·강우·안전율 등 변화를 감시해 2차 붕괴 가능성을 판단하고 구조인력 철수를 경보한다.","사면변위; 강우; 침투; 안전율; 인력위치; 관측시각","위험 임계치와 증가속도를 함께 평가하고 위험구역 내 인력을 경보대상으로 선정한다.","2차붕괴 경보; 철수권고; 위험구역; 영향인원","사면센서; AI 위험분석; 현장단말","골든타임 확보와 적시경보","임계치 전후 시나리오의 경보 지연·오탐·대상자 선정 검증","산사태 핵심/P0","데이터모사","사면 변위 증가와 2차 붕괴 철수 경보 시나리오 구현","실센서·위험모델·공간대상 선정·전달확인 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","추가 산사태 예측·적시경보·현장 대응력 강화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
