"문서ID","분야","문서명","문서유형","통합시스템반영여부","반영범위","제외범위","비고"
"DOC-COM-001","산불","산불 연구개발계획서(협약용)_투비유니콘_최종","연구개발계획서","반영","통합 아키텍처; 실시간 정보공유; 3D COP; 통신관제; AI 의사결정; 실증","통신장비 회로·기구 자체 설계","그림·표 포함 검토"
"DOC-COM-002","산불","산불 2025년도 연차보고서(최종)","연차보고서","반영","연차 구현범위; 통합 데이터흐름; GIS/Viewshed; 성능·실증","논문·특허·예산 등 행정성과","그림·표 포함 검토"
"DOC-WF-001","산불","기술지정 과제 제안요구서(RFP)-투비유니콘","RFP","반영","공식 기능범위; 필수연계; 10분/5초/98%/98% 성능지표","연구팀 구성·예산","PDF p.1-p.2 전수 검토"
"DOC-WF-002","산불","과업지시서(가상훈련)_투비유니콘_리모샷","용역 과업지시서","반영","VR 음영검증; 통합 UI; 시나리오; 다중권한; 로그; LLM 데이터셋","프로젝트 대금·일반 행정","HWP 본문 및 SFR/DAR/TER/SER/QUR 검토"
"DOC-WF-003","산불","계약서_산불 대응 GCS 시스템 구입_새암정보기술","물품구매 계약서","제한반영","GCS가 외부 연계대상이라는 사실","계약금액·일반조건; 상세 기능명세 부재","별첨 상세 시스템 요구가 확인되지 않아 별도 요구행 생성 안 함"
"DOC-LS-001","산사태","산사태 연구개발계획서(협약용)-투비유니콘-250529(최종)","연구개발계획서","반영","KDI 통합구조; 긴급통신; 모니터링; 조난자 위치; GIS/AI","드론·탐지기 순수 기구설계","그림·표 포함 검토"
"DOC-LS-002","산사태","산사태 2025년도 연차보고서(최종)_20260106","연차보고서","반영","실제 개발범위; 3D DB; 신호분석; 운영·표준화","예산·사업화 일반","그림·표 포함 검토"
"DOC-LS-003","산사태","산사태 품목지정 과제 제안요구서(RFP)","RFP","반영","긴급통신망; 재난안전통신망·지자체 정보공유; 조난자 위치","타 품목의 구조물·공법","품목1 중 통합시스템 범위만 반영"
"DOC-LS-004","산사태","과업지시서(SW개발)_투비유니콘(만듦)","용역 과업지시서","반영","XYZ 입력; DXF/CAD; UI; 정량 성능; 테스트·인수","독립 CAD 도구의 비통합 행정기능","SFR/PER/DAR/INR/TER/COR/PSR 반영"
"DOC-LS-005","산사태","과업지시서(데이터구축)_투비유니콘(미디어울산)","용역 과업지시서","반영","공식 데이터 수용량; JSON/CSV; 메타데이터; 품질; 비식별·보안","인터뷰 수행 인력·현장조사 운영 자체","플랫폼 적재·검증·활용조건으로 변환"
"DOC-LS-006","산사태","산사태 실종자 탐색용 관제 플랫폼 구축 1년차 계약서","용역 계약·별첨명세","반영","EOIR; KT Supervisor; 5G 망 품질·모뎀 관제","대금·계약일반조건","별첨 명세 p.8 직접 반영"
"DOC-LS-007","산사태","산사태 실종자 탐색용 관제 플랫폼 구축 2년차 계약서","용역 계약·별첨명세","반영","CUSTOM GCS; 통신단말 일체관제; DMS; 통합알림","대금·계약일반조건","별첨 명세 p.8 직접 반영"
