"요구사항ID","재난분야","요구사항영역","세부기능","요구사항설명","주요입력데이터","처리·판단규칙","출력·사용자기능","연계대상","성능·품질기준","검증방법","개발단계·우선순위","현재구현상태","현재구현근거","추가개발사항","근거문서","근거구분","근거위치","원문요구번호","근거강도","통합시스템포함사유","개발범위구분","구현산출물","범위제외경계"
"INT-COM-001","공통","통합플랫폼","단일 통합시스템 구성","통신망·현장자원·AI 분석·GIS 시각화 모듈을 개별 도구가 아니라 하나의 완결된 현장 대응 시스템으로 통합한다.","통신상태; 자산상태; 위치; 재난상황; 분석결과","사건 ID와 시간축을 기준으로 이기종 데이터를 정규화·결합한다.","단일 웹 상황판; 사건별 통합 조회","현장장비; 통신장비; 분석모듈; 외부 관제체계","모듈 장애가 전체 시스템을 중단시키지 않는 구조; 현장 운용 가능성","가상 재난 시나리오에서 수집→분석→표출 전 과정 통합시험","1단계 핵심/P0","부분구현","백엔드 API·Supabase·웹 대시보드·모사기가 사건 중심으로 연동됨","영상·AI·통신제어 모듈의 실제 연동과 장애복구 검증 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산불 계획서 연구개발 목표 및 RFP 분석; 산사태 연차보고서 1단계 통합 필드테스트","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-002","공통","사건관리","재난사건 중심 데이터 관리","산불·산사태 발생 건을 독립 사건으로 등록하고 발생시각·위치·심각도·진행상태 및 관련 자원을 통합 관리한다.","재난유형; 발생시각; 중심좌표; 행정구역; 심각도","모든 자산·위치·경보·보고·분석 결과를 사건에 귀속한다.","사건 선택; 상태 요약; 사건별 자원 및 경보 조회","산불관제통합시스템; 지자체 재난체계","시간·공간 기준의 데이터 일관성","사건 생성 후 하위 데이터의 귀속 및 조회 무결성 시험","기반기능/P0","구현","events API와 사건 선택형 통합 대시보드 구현","사건 종료·병합·복합재난 전환에 대한 업무규칙 보강","산불 연구개발계획서; 산사태 연구개발계획서","도출","통합 관제와 범국가 재난 대응 체계 요구에서 시스템 요구로 도출","","문서기반도출","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-003","공통","통합상황도","GIS 기반 공통작전상황도","현장 자원·재난지점·위험구역·통신음영·대피·통제 정보를 동일 지도에서 계층적으로 시각화한다.","경위도·고도; DEM/DSM; 위험구역; 자산위치; 통신범위","좌표계를 통일하고 레이어별 갱신주기와 표시 우선순위를 적용한다.","지도 확대·이동; 레이어 표시; 마커; 상태강조","국가공간정보; 지자체 GIS; 재난 분석모듈","3차원 위치 및 산악지형 표현; 최신 데이터 식별 가능","기준 좌표와 화면 표시 좌표 비교; 다중 레이어 중첩 시험","핵심/P0","부분구현","MapLibre·OpenStreetMap 기반 위치 지도와 사건·자산 마커 구현","위험지도·화선·음영지역·대피로·3D 지형 레이어 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산불 계획서 3D GIS 통합 위치관제; 산사태 계획서 GIS/Viewshed; 연차보고서 공간 기반 위험지도","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-004","공통","자원관리","인력·차량·장비 통합 자산대장","진화대원·구조인력·차량·드론·이동기지국·중계기·탐지기를 유형별로 등록하고 운용상태를 관리한다.","자산ID; 유형; 소속; 성능; 가용상태; 배터리; 네트워크","자산의 정적 제원과 시간에 따라 변하는 상태 이력을 분리 저장한다.","유형별 건수; 상태; 최근통신; 필터","장비관리체계; 현장단말","동일 자산 식별과 상태이력 보존","자산 등록·상태변경·최신상태 및 이력조회 시험","핵심/P0","구현","assets·asset-statuses API와 유형별 카드·필터·최근통신 표시 구현","제원·정비·소속·임무배정 상세 관리 보강","산불 연구개발계획서; 산사태 연구개발계획서","명시","산불 계획서 최종목표의 대원·차량·장비; 산사태 계획서 드론·중계기·탐지장비","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-005","공통","실시간위치","현장인력 위치추적","현장 인력의 경도·위도·고도·정확도·활동상태·안전상태를 지속 수집하고 지도에 표시한다.","GNSS/RTK 좌표; 측위방식; 정확도; 관측시각; 비상신호","최신 관측값을 식별하고 비정상 이동·장시간 미수신·위험구역 접근을 판단한다.","실시간 마커; 이동상태; 최근통신; 위험 강조","RTK-GNSS 단말; 드론·차량 기준국","산불 목표는 수십 cm급 정밀측위; 위치정보의 신속 갱신","기준점 대비 오차·갱신주기·누락률 측정","핵심/P0","부분구현","personnel-positions 수집·최신조회와 1초 폴링 지도표시 구현","실제 RTK 단말 연동·오차품질 표시·이동경로·미수신 경보 필요","산불 연구개발계획서; 산사태 연구개발계획서","명시","산불 계획서 RTK 정밀 위치추적; 산사태 계획서 인력 GPS 및 드론/LTE 전달","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-006","공통","현장상태","위치·상태 변화 실시간 공유","위치뿐 아니라 장비 운용상태·배터리·통신품질·안전상태·임무상태를 상황실과 현장에 연속 공유한다.","자산상태; 위치; 배터리; 신호세기; 활동상태; 관측시각","이전값과 현재값을 비교하여 변화량과 상태전이를 산출한다.","변경 객체 강조; 최신 상태; 변화 이력","현장단말; 통신망; 상황실","끊김 없는 정보 공유와 최신성 보장","고정 시나리오에서 생성 건수·수신 건수·표시 지연 측정","핵심/P0","부분구현","모사기가 변화 데이터를 서버로 전송하고 프론트가 1초 폴링·0.5초 강조","전송 성공률·표시지연·누락 복구를 정량 기록하는 시험모듈 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","산불 계획서 최종목표 및 실시간 진화자원 정보공유","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-007","공통","통신관제","통신망 품질 통합 모니터링","위성·이음5G·TVWS·LTE·LPWA·Wi-Fi 등 이기종 망의 신호세기·전송률·지연·가용상태를 지속 관측한다.","망유형; RSSI/RSRP; 처리량; 지연; 손실률; 활성상태","품질 임계치와 서비스 우선순위에 따라 정상·저하·두절을 판정한다.","망별 상태; 품질 추이; 음영지역; 장애경보","NMS/BMS; 이동기지국; 통신사업자망","현장 이동 중에도 통신품질 연속 관측","망 품질 저하·복구 시나리오와 상태전이 로그 검증","핵심/P0","부분구현","communication networks 조회와 모사 네트워크 상태·품질 데이터 생성","망별 실측 KPI·시계열 차트·NMS/BMS 연계 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산불 2025 연차보고서","명시","산불 계획서 지능형 본딩·스위칭; 산사태 계획서 통신망 특성·모니터링","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-COM-008","공통","통신제어","자동 스위칭·본딩","현재 망이 저하 또는 두절되면 가용한 최적 채널로 자동 전환하고 필요 시 복수 채널을 결합한다.","실시간 망 품질; 채널용량; 지연; 재난우선순위","가용성·지연·전송률·전력·업무중요도를 종합해 채널을 선택한다.","현재 경로; 전환사유; 전환시각; 성공여부","차량·드론 기지국; 위성; 이음5G; TVWS","서비스 세션 연속성; 자동복구; 중요데이터 우선 전달","망 강제 저하 후 전환시간·패킷손실·복귀 성공률 측정","핵심/P0","모사구현","산불 시나리오에서 TVWS 저하와 LEO 백홀 전환 이벤트 생성","실제 네트워크 제어·본딩·무중단 전환 검증은 미구현","산불 연구개발계획서; 산불 2025 연차보고서","명시","지능형 네트워크 본딩 및 스위칭 기술","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-COM-009","공통","긴급통신망","이동형 현장망 신속 구축","차량·드론·배낭·이동형 중계기로 기존 통신 인프라가 없거나 파괴된 현장에 긴급통신망을 구성한다.","현장좌표; 장비가용성; 지형; 망구성; 전원","도착·전개·활성화 단계를 기록하고 커버리지와 외부 백홀 연결을 확인한다.","구축상태; 커버리지; 연결단말; 구축소요시간","차량형 기지국; 드론중계기; 배낭형 중계기; 위성백홀","신속한 망 전개와 안정적 백홀 확보","현장 도착부터 서비스 가능 시점까지 측정; 산악 테스트베드 검증","핵심/P0","모사구현","산불 TVWS 및 산사태 드론·이동중계기 활성화 시나리오 구현","실장비 프로비저닝·커버리지 실측·전원 및 장애 시험 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","차량·드론·위성·배낭 조합; 재난 현장 대응형 긴급통신망","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-COM-010","공통","양방향통신","상황실-현장 간 명령·보고","상황실과 현장대원 및 현장대원 상호 간에 명령·경보·보고·비상호출을 양방향 전달한다.","명령; 수신대상; 우선순위; 보고; 비상버튼","전송상태·수신확인·실패·재전송을 관리하고 긴급 메시지를 우선 처리한다.","명령발행; 수신확인; 현장보고; 비상알림","현장단말; 무전·메시지 장비; 상황실","소음·강풍 환경에서 신뢰성 높은 전달; 통신 장애 시 재전송","발행→수신→확인 전 과정과 중복·지연·실패 시험","핵심/P0","API부분구현","alerts issue/acknowledge 및 tasks status API 존재","프론트 명령·보고 UI와 실제 현장단말 연계·재전송 정책 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","상황실-진화대원 통신두절 대응 및 양방향 통신장비","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
