"UIUX_ID","분야","사용자역할","화면·영역","세부기능","사용자목적","표시데이터","핵심컴포넌트","주요인터랙션","기본상태","로딩·빈상태","오류·장애상태","알림·피드백","UI유지원칙","UX유지원칙","반응형·접근성","갱신정책","완료기준","관련개발범위ID","우선순위"
"UX-COM-001","공통","상황실 지휘관; 운영자","전체 프레임","단일 화면 통합상황판","스크롤과 화면전환을 최소화하고 재난·자원·경보·통신상태를 동시에 파악","선택 사건; 운영지표; 지도; 자산; 경보; 통신망","고정 헤더; 지도 캔버스; 오버레이 패널; 접이식 우측 패널","사건 선택; 패널 접기; 지도 탐색","가장 최근 활성 사건과 해당 중심좌표를 기본 선택","지도와 헤더 골격을 먼저 표시하고 데이터 영역은 스켈레톤 처리; 데이터가 없으면 사건 미등록 안내","API 전체 실패 시 마지막 정상 데이터와 실패시각 표시; 지도는 유지","새 데이터 도착을 화면 전체 깜박임 없이 부분 반영","화이트톤; 지도가 화면의 최대 영역; 정보는 지도 위 레이어로 배치; 불필요한 장식 금지","3초 안에 현재 재난·위험·자원 부족 여부 파악; 주요 작업 2단계 이내","키보드 탐색; 4.5:1 대비; 1280px 이상 무스크롤; 태블릿에서 패널 자동 축소","1초 폴링; 마지막 성공시각 표시","1280×720에서 주요 기능이 세로 스크롤 없이 보이고 API 일부 장애에도 지도가 유지","SCOPE-001; SCOPE-002; SCOPE-003","P0"
"UX-COM-002","공통","모든 사용자","상단 헤더","재난 사건 선택","활성 산불·산사태 사건을 빠르게 전환","재난유형; 사건명; 위치; 심각도; 상태; 발생시각","사건 탭/칩; 심각도 배지; 검색","사건 클릭; 키보드 좌우 이동; 사건 검색","활성 사건을 심각도·최근갱신 순으로 노출","목록 로딩 스켈레톤; 사건이 없으면 신규 사건 없음","선택 사건 상세 실패 시 이전 사건 화면 유지와 재시도","선택 변경 즉시 지도·지표·패널의 대상 사건을 일괄 변경","한 줄 높이 유지; 긴 사건명 말줄임과 툴팁; 색상만으로 재난유형 구분 금지","사건을 바꿔도 사용자가 지도·필터 맥락을 잃지 않도록 명확한 선택상태 제공","탭 역할·aria-selected; 모바일에서는 가로 스크롤 칩","사건목록 10초; 선택 사건 데이터 1초","선택 후 1초 이내 화면의 모든 데이터가 같은 eventId를 사용","SCOPE-001","P0"
"UX-COM-003","공통","상황실 지휘관","상단 요약 바","운영 핵심지표","현재 투입규모와 즉시 대응이 필요한 수치를 한눈에 확인","인원; 장비; 통신망; 활성경보; 미수신; 장애자산","소형 KPI 카드; 상태 아이콘; 숫자","카드 클릭 시 해당 자산·경보 필터 적용","정상·주의·위험의 한국어 상태와 건수 표시","값 로딩 시 자리폭 고정 스켈레톤; 0건은 정상적인 0으로 표시","집계 일부 실패 시 해당 카드만 데이터 확인 불가","수치 증가·감소를 0.5초 강조하되 지속 애니메이션 금지","높이 한 단; 숫자 우선; 서버 정상 같은 기술상태는 숨김","경고 숫자 클릭이 바로 관련 객체 필터로 이어져야 함","색상+아이콘+텍스트 병행; 숫자 읽기 레이블","1초","원본 목록 건수와 KPI 값이 일치하고 카드 선택 시 관련 객체만 표시","SCOPE-002; SCOPE-005; SCOPE-006","P0"
"UX-COM-004","공통","모든 사용자","중앙 지도","기본 지도 탐색","재난과 모든 현장 객체의 공간 관계를 파악","재난 중심; 자산·인원 위치; 도로·지형 배경","MapLibre 지도; 줌 컨트롤; 축척; 범례","확대·축소·이동; 객체 선택; 배경지도 전환","사건 변경 때만 사건 중심으로 이동; 자산 클릭 시 자동 이동·줌 금지","타일 로딩 중 단색 지형 배경과 위치 마커 유지","외부 지도 타일 실패 시 좌표 기반 빈 배경과 재난·자산 마커 유지","현재 지도시각·축척·마지막 위치 갱신 표시","지도 위 컨트롤 최소화; 패널 z-index 충돌 금지; 마커 라벨이 지도를 과도하게 가리지 않음","사용자 지도 위치·줌을 존중; 데이터 갱신으로 화면이 튀지 않음","키보드 줌; 마커 포커스; 모션 감소 설정 존중","위치 1초; 배경 타일 자체 정책","자산 상태가 갱신돼도 사용자의 지도 중심·줌이 변경되지 않음","SCOPE-003; SCOPE-004","P0"
"UX-COM-005","공통","상황실 지휘관; 현장 지휘자","중앙 지도","레이어 제어","필요한 정보만 중첩해 상황을 비교","자원; 인원; 위험구역; 화선; 음영; 대피소; 통제구역; 경로; 영상지점","접이식 레이어 메뉴; 체크박스; 투명도; 범례","표시/숨김; 투명도 조절; 전체 초기화","사건유형에 필요한 최소 레이어를 기본 활성화","레이어 데이터가 없으면 비활성화하고 이유 표시","레이어 오류 시 다른 레이어 유지; 오류 레이어에 재시도","레이어 켜짐·시각·출처를 범례에 표시","레이어 메뉴는 지도 모서리에 작게 배치; 범례는 필요할 때 확장","복잡도 증가 시 자동으로 마커 군집·라벨 축약; 사용자 설정 기억","체크박스 레이블; 키보드 조작; 패턴/선종류로 위험도 보조","레이어별 1~60초; 갱신시각 개별 표시","레이어별 출처·기준시각·표시상태를 사용자가 확인 가능","SCOPE-003; SCOPE-012; SCOPE-015","P0"
"UX-COM-006","공통","상황실 지휘관; 운영자","우측 자산 패널","자산·인원 목록과 필터","현재 자산의 종류·상태·통신 최신성을 빠르게 확인","자산명; 유형; 상태; 최근통신; 배터리; 위치; 안전상태","접이식 패널; 유형 필터바; 소형 카드; 상태점","유형 필터; 카드 선택; 패널 접기/펼치기; 정렬","전체 유형 선택; 위험·오래된 통신 객체를 상단 노출","필터 결과 0건이면 조건에 맞는 자산 없음; 전체 데이터 0건과 구분","자산 상세 실패 시 카드 기본정보 유지","최근 통신을 방금 전/분 전/시간 전으로 표시; 상태변화 0.5초 강조","소형 카드; 한 카드 한 줄 중심; 과도한 상세정보 금지","카드 클릭은 선택 강조만 수행하고 지도 이동·줌 금지; 재클릭으로 선택 해제","목록 키보드 탐색; 상태 아이콘에 텍스트 대체; 터치 44px","1초","필터·정렬 중 갱신돼도 선택과 스크롤 위치가 유지","SCOPE-002; SCOPE-004","P0"
"UX-COM-007","공통","상황실 지휘관; 운영자","지도 팝오버/상세 서랍","자산 상세와 이력","선택 자산의 현재 상태와 최근 변화를 확인","정적 제원; 현재상태; 위치; 배터리; 네트워크; 최근통신; 상태이력","지도 팝오버; 하단/측면 상세 서랍; 미니 타임라인","마커/카드 선택; 이력기간 변경; 상세 닫기","핵심 상태 5개 이내를 우선 표시하고 나머지는 펼침","이력 없음은 현재상태만 표시","일부 필드 누락 시 알 수 없음으로 표시하고 화면 중단 금지","위험·미수신 상태의 원인과 관측시각 표시","팝오버는 주변 마커를 가리지 않게 자동 배치; 내부 스크롤 최소화","자산명·상태·최근통신을 가장 먼저 읽게 함; 원시 코드보다 한국어 우선","ESC 닫기; 포커스 복귀; 모바일 하단 시트","현재 1초; 이력 요청 시 조회","상세를 열어둔 상태에서도 갱신되며 필드 위치가 흔들리지 않음","SCOPE-002","P1"
"UX-COM-008","공통","상황실 지휘관; 현장 지휘자","경보 센터","경보 확인·발령·해제","위험 경보를 놓치지 않고 담당자 조치까지 추적","경보유형; 심각도; 발생시각; 위치; 대상; 전달·확인·해제상태","경보 스트립; 목록; 상세; 발령/확인/해제 버튼","경보 선택; 지도에서 보기; 확인; 메모; 해제","미확인·치명 경보 우선; 동일 경보 묶음","경보 없음은 정상 상태로 명확히 표시","발령 실패 시 중복 생성하지 않고 재시도; 오프라인 상태 표시","새 치명경보는 소리 선택옵션+시각 배너; 확인 후 과도한 반복 금지","빨강 남용 금지; 치명경보에만 강한 강조; 상태별 고정 색상·아이콘","발령·해제는 확인 대화상자; 대상·영향을 먼저 보여 오조작 방지","스크린리더 live region; 소리 없이도 인지; 키보드 확인","1초; 긴급경보 즉시 재조회","발생→발령→대상전달→확인→해제가 사용자·시각과 함께 추적","SCOPE-006","P0"
"UX-COM-009","공통","상황실 지휘관","명령·임무 패널","임무 배정과 상태 추적","대원·자산에 명령을 내리고 수행 여부를 확인","임무명; 대상; 우선순위; 지점; 기한; 상태; 수신확인","임무 작성 폼; 대상 선택; 상태 칸반/목록","지도 지점 지정; 대상 선택; 발행; 취소; 완료확인","초안→발행→수신→수행→완료 상태 흐름","대상 없음 또는 통신불가 대상은 발행 전 경고","동시수정 충돌 시 최신 상태 비교 후 재적용","발행 성공·실패와 미수신 대상 수를 즉시 표시","폼은 단계별 최소입력; 중요 명령에 명확한 요약 확인","위험한 일괄 명령은 대상 범위와 영향을 재확인; 되돌릴 수 없는 상태전이 제한","레이블·오류 연결; 키보드 지도대체 좌표입력","상태 1초","명령별 대상·수신·수행 상태가 서버 데이터와 일치","SCOPE-006","P1"
"UX-COM-010","공통","운영자","통신망 패널","망 품질·장애 관제","현재 통신 가능성과 장애 원인을 파악","망유형; 상태; 신호; 속도; 지연; 손실; 연결자산; 전환이력","망 상태 카드; 소형 추세그래프; 토폴로지; 장애 타임라인","망 선택; 지도의 커버리지 표시; 기간 변경; 장애 상세","정상/저하/두절을 한국어로 표기; 최악 상태 우선","측정값 없음과 0을 구분","NMS 연계 실패를 현장망 두절로 오인하지 않게 별도 상태","임계치 초과 지표만 강조; 자동전환 사유와 결과 표시","그래프는 단위·임계선·시간축 고정; 과도한 실시간 애니메이션 금지","기술 코드보다 영향받는 자산·업무를 먼저 제시","색각 대응 선패턴·아이콘; 표 형태 대체","상태 1초; 추세 필요 시 10초 집계","원시 품질값·판정·장애·전환이 같은 시간축으로 대사 가능","SCOPE-005","P0"
"UX-COM-011","공통","운영자; 관리자","연계 현황","외부시스템 연계 모니터링","기관·장비 연계가 정상인지 확인하고 실패건을 재처리","연계명; 송수신건수; 마지막 성공; 오류; 대기·재처리건","연계 카드; 처리 큐; 오류 상세; 재처리 버튼","연계 필터; 오류 조회; 단건/일괄 재처리","업무 영향이 큰 실패를 상단 배치","처리건 0과 연결실패를 구분","인증만료·스키마오류·네트워크오류를 구분하고 민감값 숨김","재처리 결과와 중복방지 여부를 피드백","운영 화면은 표 중심; 성공 상태의 과도한 초록 표시 금지","오류 원인→영향→조치 순으로 읽히게 구성","표 헤더·정렬 접근성; 코드 복사 버튼","연계별 5~60초","송수신 대사와 재처리 후 상태가 감사로그에 남음","SCOPE-009; SCOPE-016","P0"
"UX-COM-012","공통","운영자; 분석담당자","상황보고·미디어","현장 보고·사진·영상 조회","현장 증거와 지도 위치를 연결해 판단","보고내용; 작성자; 촬영시각; 위치; 사진; 영상; 자산","미디어 목록; 썸네일; 지도 연동; 플레이어; 보고 상세","기간·유형 필터; 재생; 지도 위치 강조; 다운로드 권한검사","최신·긴급 보고 우선","썸네일 지연로딩; 미디어 없음 안내","재생 실패 시 메타데이터 유지와 재시도/원본 다운로드","업로드·처리·사용가능 상태 표시","자동재생 금지; 지도 가림 최소화; 영상은 별도 확장 패널","저대역에서는 썸네일 우선; 사용자가 원할 때 원본 재생","자막·대체텍스트; 플레이어 키보드; 모바일 전체화면","목록 5초; 영상 상태 10초","보고와 미디어가 사건·자산·위치·시각으로 정확히 연결","SCOPE-008","P1"
