"화면ID","화면명","주사용자","핵심목적","필수영역","기본진입상태","주요이동경로","모바일전략","우선순위"
"SCREEN-001","통합 관제 대시보드","상황실 지휘관","재난·자원·위험·통신을 한 화면에서 판단","사건 헤더; KPI; 전체지도; 자산패널; 경보 스트립; 레이어","최근 활성 사건·지도 중심·위험 우선 목록","자산 상세; 경보 센터; 통신망; 보고","지도 우선; 패널은 하단 시트","P0"
"SCREEN-002","경보·명령 센터","지휘관; 현장 지휘자","경보와 명령의 발령·수신·조치 추적","경보목록; 상세; 대상; 전달·확인; 임무","미확인 치명 경보 우선","지도; 자산; 감사로그","목록→상세 단계형","P0"
"SCREEN-003","통신망 관제","통신 운영자","망 품질·장애·전환·영향자산 파악","망카드; 토폴로지; 품질추세; 장애이력; 커버리지","저하·두절망 우선","지도; 연계현황; 장애로그","읽기 중심; 그래프 축약","P0"
"SCREEN-004","자산·인력 상세","지휘관; 운영자","자산의 현재상태와 이력 확인","기본정보; 위치; 통신; 배터리; 임무; 상태이력","선택 자산 현재상태","지도; 경보; 임무","하단 상세 시트","P1"
"SCREEN-005","외부 연계 현황","운영자","기관·GCS·DMS·KT 연계 장애 처리","연계카드; 송수신대사; 오류; 재처리","실패·대기건 우선","감사로그; 운영진단","표 축약·재처리 제한","P0"
"SCREEN-006","사용자·권한 관리","관리자","기관·역할별 최소권한 설정","사용자표; 역할; scope; 세션; 변경이력","활성 사용자 목록","감사로그","관리 작업은 데스크톱 권장","P0"
"SCREEN-007","감사·운영 진단","관리자; 감사자","사용자 행위와 시스템 장애 재구성","감사로그; 서비스상태; 오류·추적ID; 내보내기","최근 실패·고위험 행위","연계현황; 경보","읽기·검색 중심","P1"
"SCREEN-008","산불 관제 상세","산불 지휘관","화선·음영·대피·진화자원 통합판단","산불지도; 시간축; 위험대원; 음영; 대피소·통제구역","현재 화선과 치명경보","통합 대시보드; VR 검증; KPI","지도·경보 중심","P0"
"SCREEN-009","산불 시나리오·VR 검증","평가자; 지휘관","통신음영 예측과 대안 시나리오 검증","시나리오; 기준/대안 지도; VR 연결; 검증결과; 로그","최근 검증 실행","산불 관제; KPI","결과 조회 중심","P1"
"SCREEN-010","산불 성능 KPI","평가자; 운영자","10분·5초·98%·98% 공식 성능 입증","KPI 카드; 시험목록; 산식; 원시로그; 내보내기","최근 완료 시험","시나리오; 운영진단","표·결과 조회","P0"
"SCREEN-011","산사태 관제 상세","구조·산사태 지휘관","위험·음영·긴급망·조난자 후보 통합판단","위험지도; 통신; 드론; 신호후보; 붕괴경보; 구조우선순위","치명경보·고신뢰 후보 우선","통합 대시보드; 장비연계","지도·후보 중심","P0"
"SCREEN-012","산사태 장비 통합관제","장비·통신 운영자","GCS·DMS·EOIR·KT·단말 상태·명령 통합","드론; 영상; 통신단말; 5G; DMS; 알림; 장애","임무중 장비·장애 우선","산사태 관제; 연계현황","읽기 중심; 명령 제한","P0"
"SCREEN-013","실증데이터 관리","데이터 관리자","공식 멀티모달 데이터 검증·승인·내보내기","수량현황; 업로드; 매핑; 품질; 비식별; 검색; 내보내기","최근 데이터셋 품질현황","지점지도; 감사로그","업로드·대량작업은 데스크톱","P0"
"SCREEN-014","3D 지형 변환","GIS 담당자","XYZ 검증·DXF 변환·CAD 확인","입력; 파라미터; 진행·로그; 실행; 결과","새 작업 또는 저장 설정 불러오기","실증데이터; 지도","데스크톱 전용 권장","P1"
