"범위ID","구분","개발모듈","포함기능","주요연계","핵심산출물","현재수준","개발완료기준","명시적제외범위","우선순위"
"SCOPE-001","공통","재난사건 통합관리","산불·산사태 사건 등록; 상태전이; 중심위치; 심각도; 사건별 자원·경보·보고·분석 연결","산불상황관제; 지자체 재난정보","사건 API; 사건 DB; 사건선택·요약 UI","구현","사건 생성부터 종료까지 하위 데이터 무결성과 이력 보존","재난 발생 자체 탐지 알고리즘","P0"
"SCOPE-002","공통","자산·인력 통합관제","대원·차량·드론·통신장비·탐지장비 대장; 최신상태; 위치; 배터리; 최근통신; 이력","현장단말; GCS; 통신장비","자산·위치·상태 API/DB; 지도 마커; 필터·상세 UI","부분구현","모든 외부 자산을 공통 ID로 조회하고 위치·상태 최신성과 이력 확인","단말·드론·차량·센서 하드웨어 제작","P0"
"SCOPE-003","공통","GIS 통합상황도","재난지점·자원·위험구역·화선·통신음영·대피소·통제구역·경로 레이어; 2D/3D 지도","공간정보; 분석모델; 외부 GIS","레이어 API; 공간 DB; 지도 UI; 레이어 설정","기본지도 구현","공식 레이어가 동일 좌표계·사건·시간축으로 표출되고 최신성·출처 식별","DEM 제작·현장측량 자체","P0"
"SCOPE-004","공통","실시간 데이터 수집","HTTP 기반 위치·상태·통신품질 배치수집; 중복방지; 최신값; 변화감지; 재전송","장비 게이트웨이; GCS; 모사기","수집 API; 검증·멱등성; 최신/이력 저장; 수집로그","부분구현","위치·상태 누락·중복·지연을 계측하고 장애 후 재처리 가능","무선 프로토콜·모뎀 펌웨어 자체개발","P0"
"SCOPE-005","공통","통신망 통합관제","망 토폴로지; 신호·속도·지연·손실·가용상태; NMS/BMS; 자동전환 결과; 장애이력","이음5G; TVWS; LEO; LTE/LPWA; KT Supervisor","통신망 API/DB; 품질·장애 화면; 전환이력","데이터 골격","실망 품질·장애·전환을 수집하고 망·자산·사건 기준으로 추적","기지국·안테나·배터리 하드웨어 설계","P0"
"SCOPE-006","공통","경보·명령·수신확인","위험·조난·통신·장비 경보; 발령·전달·확인·해제; 명령·임무 상태; 재전송","현장단말; 분석모델; 통신망","경보·명령 API/DB; 운영 UI; 대상별 전달상태","API 부분구현","경보 생성부터 대상자 수신확인·해제까지 상태와 시간을 대사 가능","경보 발생용 센서 하드웨어","P0"
"SCOPE-007","공통","사용자·권한·감사","기관·역할별 로그인; read/write/command/ingest 권한; 다중 사용자; 사용자 조작·데이터 변경 감사","기관 인증체계; JWT/OIDC","인증·인가; 사용자/역할 DB; 감사로그·조회 UI","JWT 골격","운영 인증이 강제되고 모든 중요 명령·변경이 사용자·시각과 함께 추적","기관 인사·조직 시스템 자체구축","P0"
"SCOPE-008","공통","상황보고·미디어","현장 보고; 사진·드론영상; 위치·촬영시각·자산 메타데이터; 업로드·조회·재생","드론 GCS; 현장단말; 객체스토리지","보고 API/DB; 파일 저장; 미디어·지도 연결 UI","골격","대용량 파일과 메타데이터를 분리 저장하고 사건·위치로 조회","카메라·EOIR 렌즈 제작","P1"
"SCOPE-009","공통","외부시스템 연계","표준 API; 외부 ID 매핑; 인증; 송수신 대사; 오류·재처리; 연계상태","산불상황관제; 재난안전통신망; 지자체; RFP5·RFP7","기관별 어댑터; 매핑표; 재처리 큐; 연계 관제","골격","기관별 계약시험과 장애복구·대사에 통과","외부기관 시스템 개조","P0"
"SCOPE-010","공통","데이터 품질·보안","스키마·메타데이터; 정확성·완전성·일관성; 비식별화; 암호화; 접근통제; 보유·파기","공식 용역 데이터셋; LLM 환경","품질규칙; 적재검증; 데이터 카탈로그; 보안·파기 이력","미구현","공식 납품 데이터가 자동검증되고 개인정보 처리·파기 증적 확보","인터뷰·촬영·라벨링 등 데이터 생산 작업","P0"
"SCOPE-011","공통","시험·운영·인수","헬스·로그·메트릭; 장애복구; 요구사항 추적; 단위·통합·현장시험; 매뉴얼·기술이전","API; DB; 외부연계; 테스트베드","자동시험; KPI 결과; 운영 SOP; 사용자/개발자 문서","부분구현","인수환경 재설치와 종단시험·장애복구·문서 기반 운영에 통과","논문·특허·사업화·연구행정","P0"
"SCOPE-012","산불","산불 통합관제 화면","산불위치; 화선·확산예측; 통신음영; 진화자원; 대피소; 통제구역; 현장망; 개인 위험경보","화선·음영 AI; 산불상황관제; RFP5·RFP7","산불 레이어·API; 통합 UI; 대원별 경보·권고","부분구현","공식 SFR-002 레이어 전체가 사건·시간·좌표 기준으로 일치","화선·확산·음영 AI 모델 연구 자체","P0"
"SCOPE-013","산불","가상훈련·VR 검증","가상 산불 시나리오; AI 음영결과 VR 검증; 시나리오 실행·재현; 다중사용자·로그","VR 시스템; 통신음영 AI; 모사기","시나리오 모델/API; VR 데이터계약; 검증결과·감사로그","모사기 부분구현","SFR-001·003 시나리오가 반복 재현되고 VR 검증결과와 로그 대사","VR 콘텐츠·장비 자체 제작","P1"
