"구성요소ID","프로젝트","구분","기술·실행","기본포트","구현기능","주요 API·화면","데이터흐름","현재수준","확인된제약·주의사항","요구사항연계ID","코드근거"
"SYS-BACK-001","forest-back-demo","통합 API 서버","Node.js 22+; TypeScript; Hono; npm run dev","8000","산불·산사태 공통 REST API 제공; Supabase 서버측 접근; 공통 미들웨어와 라우트 분리","/health; /health/db; /api/v1/*","프론트/모사기→Hono API→Supabase","데모 운용 가능","운영환경에서는 AUTH_REQUIRED와 JWT_SECRET 강화 필요","INT-COM-001; INT-COM-013; INT-COM-016; INT-COM-017","forest-back-demo/src/app.ts; src/index.ts; src/config.ts"
"SYS-BACK-002","forest-back-demo","사건 API","Hono route","8000","사건 목록·등록·상세·수정·상태전이","GET/POST /api/v1/events; GET/PATCH /events/:eventId; POST /events/:eventId/status","요청→권한검사→Supabase core 사건 데이터","구현","복합사건 병합·종료 후 보존정책은 별도 확인 필요","INT-COM-002","forest-back-demo/src/routes/events.ts"
"SYS-BACK-003","forest-back-demo","자산 API","Hono route","8000","공통 자산 목록·등록","GET/POST /api/v1/assets","요청→Supabase 자산대장","구현","자산 수정·폐기·정비이력 API는 확인되지 않음","INT-COM-004","forest-back-demo/src/routes/assets.ts"
"SYS-BACK-004","forest-back-demo","현장데이터 수집·조회","Hono route; batch/latest","8000","자산상태·대원위치 배치수집과 최신값 조회; 사건별 공통 자원 CRUD","POST .../asset-statuses|personnel-positions/batch; GET .../latest; 사건별 resources","현장/모사기→API→Supabase→프론트 폴링","구현","대량 트래픽·재전송·중복제거 성능시험은 별도 필요","INT-COM-005; INT-COM-006","forest-back-demo/src/routes/resources.ts"
"SYS-BACK-005","forest-back-demo","도메인 데이터 API","Hono route","8000","wildfire·landslide 도메인 자원 조회·등록","GET/POST /events/:eventId/:domain/:resource","클라이언트→도메인별 Supabase schema","골격구현","resource 명칭과 스키마 계약에 의존; 세부 검증규칙 보강 필요","INT-WF-002; INT-LS-001; INT-LS-002","forest-back-demo/src/routes/resources.ts"
"SYS-BACK-006","forest-back-demo","경보·임무·추천 명령 API","Hono route; command scope","8000","임무 상태전이; 추천 승인/반려; 경보 발령·수신확인","POST tasks/:id/status; recommendations/:id/decision; alerts/:id/issue|acknowledge","운영자 명령→권한검사→DB 상태전이","API 골격구현","프론트 처리화면·대상자별 전달·재전송·해제 흐름 부족","INT-COM-010; INT-COM-011; INT-LS-011","forest-back-demo/src/routes/resources.ts"
"SYS-BACK-007","forest-back-demo","모사 데이터 인입","Hono ingest route","8000","슈터가 생성한 테이블 단위 데이터를 서버에서 수신해 Supabase에 기록; 자산명·변화량 중심 서버로그","POST /api/v1/simulator/ingest","forest-api-shoot→forest-back-demo→Supabase","구현","운영 장비용 정식 수집 계약과 검증·멱등성 강화 필요","INT-COM-006; INT-COM-018","forest-back-demo/src/routes/simulator.ts"
"SYS-BACK-008","forest-back-demo","인증·권한","JWT HS256; scope middleware","8000","forest.read/write/command/ingest 권한 검사","보호된 /api/v1 경로","JWT→미들웨어→route","부분구현","개발 시 인증 비활성 가능; 사용자·역할관리와 감사저장은 미확인","INT-COM-016","forest-back-demo/src/middleware/auth.ts"
"SYS-BACK-009","forest-back-demo","외부연계·파일","Hono route; Supabase Storage 요청","8000","파일 업로드 요청과 외부 기준정보 조회 골격","POST /files/upload-requests; GET /reference-data/:type","클라이언트→API→Storage/기준정보","골격구현","실제 기관별 API와 영상 스트리밍은 미연결","INT-COM-013; INT-COM-014","forest-back-demo/src/routes/external.ts"
"SYS-BACK-010","forest-back-demo","서버 관측성","컬러 콘솔로그; origin 구분","8000","요청 출처를 [origin] 형식으로 구분하고 모사 변화량 로그 출력; API·DB 헬스체크","/health; /health/db; 서버 콘솔","요청/처리결과→서버 콘솔","데모 수준 구현","영구 로그·메트릭·추적·경보시스템은 없음","INT-COM-017; INT-COM-018","forest-back-demo/src/logger.ts; src/app.ts; src/routes/health.ts; src/routes/simulator.ts"
"SYS-FRONT-001","forest-front-demo","통합 관제 프론트","React 19; TypeScript; Vite; MapLibre","5173","화이트톤 지도 중심 단일 화면 산림재난 통합 대시보드","산림 재난 통합 운영 현황","브라우저→forest-back-demo HTTP API","데모 운용 가능","현재 npm run dev는 build 후 preview 방식으로 일반 Vite HMR 개발서버와 다름","INT-COM-001; INT-COM-003","forest-front-demo/src/features/disaster-dashboard/UnifiedDisasterDashboard.tsx"
"SYS-FRONT-002","forest-front-demo","HTTP API 계층","별도 src/http-api 모듈","5173","이벤트·자산·대원위치·네트워크·경보·보고·도메인 상세를 서버 API로 조회","forestApi.events/event/resources/domainResources/latest*","API 호출→응답 정규화→화면 overview","구현","오류 재시도·캐시·요청취소·스키마 런타임검증은 제한적","INT-COM-002; INT-COM-004; INT-COM-006","forest-front-demo/src/http-api/client.ts; src/http-api/forest-api.ts"
"SYS-FRONT-003","forest-front-demo","실시간 갱신","HTTP polling","5173","선택 사건 데이터를 1초 주기로 재조회하고 변경 위치를 0.5초 강조","대시보드 자동 새로고침","프론트→8000 API 반복조회","구현","대규모 동시접속 시 폴링 부하 검증 필요; WebSocket은 사용하지 않음","INT-COM-005; INT-COM-006","forest-front-demo/src/features/disaster-dashboard/UnifiedDisasterDashboard.tsx"
