"요구사항ID","재난분야","요구사항영역","세부기능","요구사항설명","주요입력데이터","처리·판단규칙","출력·사용자기능","연계대상","성능·품질기준","검증방법","개발단계·우선순위","현재구현상태","현재구현근거","추가개발사항","근거문서","근거구분","근거위치","원문요구번호","근거강도","통합시스템포함사유"
"INT-WF-001","산불","정밀측위","RTK-GNSS 대원 측위","헬멧·조끼 부착형 저전력 RTK-GNSS 단말과 이동형 기준국을 이용해 험준한 산악지역에서도 대원 위치를 정밀 추적한다.","RTK 보정정보; 3차원좌표; 정확도; 배터리; 비상버튼","FIX/FLOAT 등 측위품질과 수평·수직오차를 평가하고 기준국 음영 시 대체 측위를 사용한다.","대원 3D 위치; 측위품질; 비상상태","대원단말; 차량/드론 기준국","수십 cm급 목표; 저전력·소형·경량","측량 기준점과 비교한 CEP/RMSE 및 연속운용시간 시험","산불 핵심/P0","데이터모사","RTK_FIXED·정확도 0.08m의 모사 위치 생성","실단말·보정정보·3D 고도·배터리·비상버튼 연동 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","RTK 기반 산불진화대원 정밀 위치추적","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-002","산불","화선관제","화선·확산경로 실시간/예측 관리","위성·드론·현장관측으로 발화지점·연소영역·화선과 시간대별 예상 확산경로를 생성하고 지도에 표시한다.","위성영상; 드론영상; 풍향·풍속; 지형; 연소영역; 관측시각","관측 화선과 예측 화선을 구분하고 예측시점·신뢰도·모델버전을 보존한다.","현재 화선; 예상 화선; 확산방향; 시간 슬라이더","산불예측모델; 위성/드론 영상","급변 상황에서 최신 예측과 출처 식별","관측 화선 대비 예측 위치오차·갱신주기 측정","산불 핵심/P1","데이터모사","모사 화선 관측과 확산예측 데이터 생성","프론트 지도 레이어·영상분석·예측정확도 검증 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","위성영상 기반 화선 탐지·예측 및 시간별 예상위치 가시화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-003","산불","대원안전","화선 접근·고립 위험 판단","대원 위치와 화선·위험구역·통신커버리지를 결합해 접근위험과 고립 가능성을 조기에 판단한다.","대원위치; 화선; 풍향; 지형; 이동속도; 통신커버리지","예상 도달시간·안전거리·통신단절 가능성을 계산해 심각도를 부여한다.","접근경보; 고립위험; 권고행동; 안전경로","화선예측; GIS; 통신품질맵","대원 생존 관련 경보의 적시성과 낮은 누락률","위치·화선 시나리오별 경보 발생시점과 오탐/미탐 측정","산불 핵심/P0","부분모사","화선 접근 경보 이벤트 생성","실시간 공간연산·안전거리 규칙·고립분석·UI 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","위험지역 근접·고립 여부 파악과 맞춤 안전정보","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-004","산불","통신최적화","AI 기반 이동기지국 위치추천","지형·전파모델·산불확산·대원밀집도·실시간 음영지역을 이용해 이동기지국의 최적 배치 위치를 추천한다.","DEM/DSM; 전파모델; 기지국성능; 화선예측; 대원위치; 품질맵","커버리지 최대화·음영 최소화·안전성·접근성을 목적함수로 강화학습 또는 최적화한다.","추천 후보지; 예상 커버리지; 이동경로; 추천근거","AI-RAN; GIS; 차량·드론 기지국","동적 상황에 따른 선제적 재배치와 설명 가능성","기준배치 대비 커버리지·음영률·재배치시간 비교","산불 핵심/P1","미구현","추천 의사결정 API 골격만 존재","학습데이터·모델·공간분석·추천 UI 및 승인흐름 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","강화학습 기반 최적 위치추천 및 AI-RAN 자원최적화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-005","산불","현장망","차량 이동형 통신허브","현장지휘차량에 소형기지국·RTK 기준국·TVWS·이음5G·LEO 위성 기능을 결합해 현장 통신허브로 운영한다.","차량위치; 장비상태; 백홀품질; 연결단말; 전원","현장 도착 후 자동 구성하고 최적 백홀을 선택하며 이동 중 세션을 유지한다.","차량망 상태; 커버리지; 백홀; 연결자원","차량 소형기지국; 위성; TVWS; 이음5G","신속 전개·이동 중 연속성·최종 생존통신","차량 이동·백홀차단·전원변동 조건에서 서비스 시험","산불 핵심/P0","개념모사","TVWS 활성화와 LEO 전환 시나리오 존재","차량 장비 통합·원격제어·연결단말·전원관리 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","현장지휘차량 통신허브 및 최종 생존 통신수단","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-006","산불","네트워크자원","AI-RAN 우선순위 제어","한정된 무선자원을 재난 중요도와 데이터 유형에 따라 동적으로 배분한다.","사용자·업무 우선순위; 트래픽유형; 채널품질; 셀부하","긴급통신·위치·경보를 영상·일반데이터보다 우선하고 혼잡 시 QoS를 재조정한다.","자원배분 상태; 혼잡경보; 정책 변경이력","AI-RAN 제어기; 이동기지국","긴급 데이터 전달 보장과 전체 품질 최적화","부하 증가 시 데이터 유형별 지연·손실·우선처리 확인","산불 고도화/P1","미구현","현재 일반 HTTP 수집만 구현","QoS 정책·트래픽분류·RAN 제어·성능검증 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","AI-RAN 기반 무선 네트워크 자원 최적화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-007","산불","통신토폴로지","다계층 이동 통신망 구성","중앙 산불관제-현장지휘본부-이동형 현장지휘소-차량/휴대 중계기-대원단말을 PS-LTE·LEO·이음5G·TVWS·LPWA로 계층 연결한다.","노드ID; 망유형; 링크상태; 백홀; 대원단말; 지휘소위치","현장 노드의 상·하위 연결과 대체 경로를 관리하고 단말은 LPWA/LTE 기반 RTK·위치 정보를 전달한다.","망 토폴로지; 링크상태; 연결단말; 백홀경로","중앙관제; 현장지휘본부; 차량; 중계기; 대원단말","단일 링크 장애에도 지휘·위치·경보 전달 지속","링크별 차단과 대체경로 전환·도달성 시험","산불 핵심/P0","부분모사","네트워크·자산 상태와 TVWS/LEO 전환 시나리오 존재","토폴로지 모델·실링크 관제·단말 연결관계 UI 필요","산불 연구개발계획서; 산불 2025 연차보고서","그림명시","산불 연구계획서 PDF p.3","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-008","산불","3D-COP","3차원 산불 공통작전상황도","산불 예상경로·안전대피로·위험지역·진화자원·소화용수·대원 고도를 3차원 지도에 통합 표현한다.","DEM/DSM; 화선예측; 대피로; 위험구역; 소방차·헬기·인력; 수원; 3D좌표","관측·예측·계획 레이어를 구분하고 지형차폐와 고도차를 반영한다.","3D COP; 시간대별 확산; 자원·수원·대피로 레이어","산불예측; GIS; 자원관리","상황인지 정확성·모바일 경량표현","2D/3D 좌표·레이어 정합과 지휘관 사용성 검증","산불 핵심/P1","부분구현","2D MapLibre 지도와 자원마커 구현","3D 지형·화선·수원·대피·위험 레이어와 시간축 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","산불 연구계획서 PDF p.10; 산불 연차보고서 PDF p.8","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-009","산불","통신음영","산불 발생지역 단계별 음영 분석","대상지역 선정→GIS Viewshed 음영 식별→전파간섭 분석→중계기 설치간격·설치구역 결정 순으로 통신망을 설계한다.","경사도; 고도; 식생; 수목밀도; DEM/DSM; 송신점; 주파수; 전파특성","산능선·식생·고도·수목밀도에 의한 차폐·간섭을 계산하고 음영보완 지점을 도출한다.","음영지도; 설치간격; 설치구역; 보완효과","GIS; 전파분석; 이동중계기","음영 최소화와 설치가능성","실측 전파지도와 Viewshed/간섭 분석 결과 비교","산불 핵심/P1","미구현","네트워크 위치와 상태만 존재","Viewshed·전파간섭 분석·설치계획 레이어 필요","산불 연구개발계획서; 산불 2025 연차보고서","그림명시","산불 연구계획서 PDF p.36; 산불 연차보고서 PDF p.45","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-010","산불","중계기안전","지반안정성·가시권·화선 기반 설치지 평가","중계기 후보지는 통신 가시권뿐 아니라 사면안정성·접근통제·산불 확산경로·대피로 인접성을 함께 평가한다.","사면안정성; Viewshed; 화선예측; 대피로; 접근로; 후보지","위험지역을 제외하고 시야범위와 커버리지 효율이 높은 후보를 우선순위화한다.","설치가능/제외; 우선순위; 판단근거; 대체지점","GIS; 화선예측; 현장운영","장비·운영인력 안전과 통신효율 동시 확보","전문가 판정·현장답사와 후보지 결과 비교","산불 안전필수/P0","미구현","추천 API 골격만 존재","공간 제약조건 모델·후보지 평가·승인 흐름 필요","산불 연구개발계획서; 산불 2025 연차보고서","그림+본문명시","산불 연구계획서 PDF p.36","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
"INT-WF-011","산불","AI커버리지","음영 우선대응 자동분류","Viewshed와 기본 지형 정보를 이용해 음영 위치·범위·대피로 인접성을 학습하고 우선 대응 음영지역을 위험도 순으로 자동 추출한다.","음영폴리곤; 지형; 대피로; 대원밀집; 화선; 현재커버리지","인명·임무 영향과 대피로 차단 가능성에 가중치를 부여해 우선순위를 계산한다.","우선 음영지역; 위험도; 커버 우선순위; 추천장비","AI 분류; GIS; 기지국 최적화","선제적 대응과 추천근거 설명 가능성","전문가 우선순위 대비 일치도·커버리지 개선률 평가","산불 고도화/P1","미구현","해당 AI 기능 없음","학습데이터·분류모델·설명·추천 연계 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","산불 연구계획서 PDF p.36","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당"
